ID,Number_Plate
4,
4,
4,
4,
4,
4,
4,
4,
4,
4,
4,
4,
4,
4,
4,
4,
4,
4,
4,
4,
13,
13,
13,
13,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,
18,[I9D: O9
18,
18,
18,
18,
18,
18,
20,
20,
20,
20,
20,
20,
20,
20,
20,
20,
20,
20,
20,
22,
22,
33,
33,
33,
33,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,
36,NAMI
36,NLMyLh
36,KNJMMJ5I
36,KAIMV_D5
36,KNSLMI9IJOs
36,KKASLIMIL
36,KADLMMJ5
36,KAMIMIMJDs|
36,KASMIIBL
36,KLSTMO5I
36,
36,
41,
41,
41,
41,
41,
41,
41,
41,
41,
41,
41,
41,
41,
41,
41,
41,
41,
41,
41,
41,
41,aao!4
41,
44,
44,
44,6ILZIJE
44,
44,
47,
47,
47,
47,
47,
47,
50,
60,3e
75,
75,
75,
75,
75,
75,
75,
75,
75,
75,
75,
75,
75,
75,
75,
75,
75,
75,
82,
82,
86,
86,
86,
86,
86,
86,
88,
88,
88,
88,
88,
88,
88,
88,
88,
88,
88,
88,
88,
88,
88,
88,FKASIKNS
88,KIS1KN5
88,KIS
90,
90,
90,
90,
90,
90,
90,
90,
90,
113,
135,
135,
135,
135,
135,
135,
135,
145,_LLC(QCsrete Choice
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,
148,ISIJG1
148,|$11J6 36
148,AiJSiBG
148,IMJ& |36
145,636]
148,136
154,
154,
169,
169,
169,
169,
169,
169,
169,[BD1[[3l3!
169,LLDLI
169,
169,L3
169,"01[""V/3059"
169,AD1VV J!59]
169,[E01HN_3459
169,KB O1V JI59
169,D1MV 3J5g
169,3159]
169,3159]
183,
183,
183,
183,
183,
183,
183,
183,
183,
183,
183,
183,
183,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
184,
188,
188,
188,
188,
188,
188,
188,
188,
188,
188,
188,
188,
188,
192,
192,
192,
192,
196,
196,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,
197,"l""li"
197,llgT
197,
197,la%
197,ibsi
197,nre
197,8
197,Ible
197,"fag"""
197,
197,"""lla"
197,l;l::
197,
197,l
197,slli
197,ula
197,"llg"""
197,|5150
197,l3g
197,filg
197,;38
197,agIgij
197,Iljlg:
197,!
197,!
197,d
197,fgi
197,fuglali
197,151!
197,:
197,n5Tg
197,l!g
197,Cu5IIgu
197,5
197,I[I5IIg93
197,!50!:!
197,[151!:591;
197,1151:!1
197,5IE
197,"[""I5II:99"
197,TNI5IIG59y
197,75:591`
197,"""I5[!:593`"
197,TI5II:59g
197,"[""!5[!:;937"
