ID,Number_Plate
_33,
_33,
_33,
_33,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,
_36,s
_36,
_36,
_36,
_36,
_36,Nlll.
_36,
_36,SALII
_36,
_36,
_36,Al
_36,KAGLMNI J35I
_36,kALLII
_36,KAGI MII_lIs
_36,KASIMIIJi
_36,KAGLNIJII
_36,Ka sl
_36,K9AIIIgIFO
_36,KLIuJi
_36,kincMb
_36,841^^
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_41,
_44,z
_44,a2
_44,calLDD
_44,as2
_44,24
_47,
_47,
_47,
_47,
_47,
_47,
_50,
_4,
_4,
_4,
_4,
_4,
_4,
_4,
_4,
_4,
_4,
_4,
_60,2T2
_4,
_4,
_4,
_4,
_4,
_4,Ify
_4,
_4,
_4,
_75,
_75,
_75,
_75,
_75,
_75,
_75,
_75,
_75,
_75,ellLu
_75,
_75,
_75,
_75,
_75,
_75,
_75,
_75,
_82,5
_82,QgIb5
_86,
_86,
_86,
_86,
_86,
_86,
_88,
_88,
_88,
_88,
_88,
_88,
_88,
_88,[LSJ2g!
_88,KISJKVEK
_88,QugITssE
_88,DISIILSD
_88,5LLSB
_88,ELSIIPSG7
_88,GLSTINSS
_88,5TTNS6
_88,NS6IKIS
_88,ETS1NNS
_88,KISII
_90,
_90,
_90,
_90,
_90,
_90,
_90,
_90,
_90,
_13,
_13,
_13,
_13,
_113,
_135,
_135,
_135,
_135,
_135,
_135,
_135,
_145,uG(QTrete Choice
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,
_148,TSI2555
_148,
_148,
_148,
_148,~
_148,Asili e
_148,A5JL
_148,uaeinribl
_148,Ilbllat
_148,l%l
_148,ISAIIJETEC
_148,I5InJG IEi
_148,5IH5#36
_148,ISnJ6 13G
_148,[S106136
_148,45;[!6 13&
_148,IKJG {3&
_145,)136|
_148,'136
